Date,dAg,dAu
02/01/2013,0.36,-1.37
03/01/2013,-2.27,-0.41
04/01/2013,1.67,0.81
07/01/2013,0.91,0.33
08/01/2013,0.57,1.02
10/01/2013,0.77,-1.02
11/01/2013,0.54,0.74
14/01/2013,1.18,0.92
15/01/2013,0.36,-0.50
16/01/2013,0.93,-0.27
17/01/2013,1.01,0.90
18/01/2013,0.50,-0.24
21/01/2013,0.35,0.42
22/01/2013,0.95,-0.12
23/01/2013,-1.09,-1.07
24/01/2013,-0.95,-0.81
25/01/2013,-1.48,-0.46
28/01/2013,0.78,0.65
29/01/2013,0.97,0.92
30/01/2013,1.47,-0.87
31/01/2013,-1.37,0.51
01/02/2013,0.50,-0.42
04/02/2013,1.26,0.67
05/02/2013,-0.98,0.21
06/02/2013,0.40,-0.61
07/02/2013,-0.85,0.12
08/02/2013,-1.07,-0.99
11/02/2013,-1.01,-0.52
12/02/2013,0.80,-0.39
13/02/2013,-0.71,0.25
14/02/2013,-1.51,-1.43
15/02/2013,-0.77,-0.31
18/02/2013,0.00,-0.43
19/02/2013,-1.72,-1.09
20/02/2013,-1.16,-0.85
21/02/2013,0.49,-0.18
22/02/2013,1.15,0.79
25/02/2013,-1.20,0.52
26/02/2013,1.06,0.93
27/02/2013,-0.64,-0.99
28/02/2013,-1.80,-0.63
01/03/2013,1.56,-0.71
04/03/2013,0.91,0.59
05/03/2013,-0.81,-0.60
06/03/2013,0.97,0.59
07/03/2013,-0.89,0.38
08/03/2013,0.65,-0.42
11/03/2013,1.10,0.97
12/03/2013,-0.67,-0.55
13/03/2013,-1.28,-0.45
14/03/2013,0.97,0.77
15/03/2013,-0.62,0.72
18/03/2013,0.42,0.66
19/03/2013,0.42,-0.45
20/03/2013,0.19,0.62
21/03/2013,0.72,-0.61
22/03/2013,-1.16,-0.73
25/03/2013,0.75,-0.28
26/03/2013,-1.32,0.56
27/03/2013,1.05,-0.54
28/03/2013,-1.54,-0.96
02/04/2013,-1.66,-0.74
03/04/2013,-1.20,-1.34
04/04/2013,0.80,1.18
05/04/2013,1.05,0.67
08/04/2013,-0.27,0.38
09/04/2013,1.34,-0.38
10/04/2013,-0.78,-0.80
11/04/2013,-0.79,-1.37
12/04/2013,-3.75,-3.02
15/04/2013,-0.55,-1.04
16/04/2013,-0.83,0.93
17/04/2013,0.93,0.35
18/04/2013,0.80,0.92
19/04/2013,-0.50,1.16
22/04/2013,-1.58,-1.08
23/04/2013,-0.66,1.21
24/04/2013,1.30,1.26
25/04/2013,1.76,1.19
26/04/2013,1.02,-0.52
